Graph,"('bomb', 'killing')","('bomb', 'injure')","('bomb', 'bombing')","('bomb', 'airborne')","('bomb', 'terrorize')","('bomb', 'militant')","('bomb', 'compound')","('bomb', 'operationally')","('bomb', 'operation')","('bomb', 'cia')","('bomb', 'islamic')","('killing', 'bomb')","('killing', 'injure')","('killing', 'bombing')","('killing', 'airborne')","('killing', 'terrorize')","('killing', 'militant')","('killing', 'compound')","('killing', 'operationally')","('killing', 'operation')","('killing', 'cia')","('killing', 'islamic')","('injure', 'bomb')","('injure', 'killing')","('injure', 'bombing')","('injure', 'airborne')","('injure', 'terrorize')","('injure', 'militant')","('injure', 'compound')","('injure', 'operationally')","('injure', 'operation')","('injure', 'cia')","('injure', 'islamic')","('bombing', 'bomb')","('bombing', 'killing')","('bombing', 'injure')","('bombing', 'airborne')","('bombing', 'terrorize')","('bombing', 'militant')","('bombing', 'compound')","('bombing', 'operationally')","('bombing', 'operation')","('bombing', 'cia')","('bombing', 'islamic')","('airborne', 'bomb')","('airborne', 'killing')","('airborne', 'injure')","('airborne', 'bombing')","('airborne', 'terrorize')","('airborne', 'militant')","('airborne', 'compound')","('airborne', 'operationally')","('airborne', 'operation')","('airborne', 'cia')","('airborne', 'islamic')","('terrorize', 'bomb')","('terrorize', 'killing')","('terrorize', 'injure')","('terrorize', 'bombing')","('terrorize', 'airborne')","('terrorize', 'militant')","('terrorize', 'compound')","('terrorize', 'operationally')","('terrorize', 'operation')","('terrorize', 'cia')","('terrorize', 'islamic')","('militant', 'bomb')","('militant', 'killing')","('militant', 'injure')","('militant', 'bombing')","('militant', 'airborne')","('militant', 'terrorize')","('militant', 'compound')","('militant', 'operationally')","('militant', 'operation')","('militant', 'cia')","('militant', 'islamic')","('compound', 'bomb')","('compound', 'killing')","('compound', 'injure')","('compound', 'bombing')","('compound', 'airborne')","('compound', 'terrorize')","('compound', 'militant')","('compound', 'operationally')","('compound', 'operation')","('compound', 'cia')","('compound', 'islamic')","('operationally', 'bomb')","('operationally', 'killing')","('operationally', 'injure')","('operationally', 'bombing')","('operationally', 'airborne')","('operationally', 'terrorize')","('operationally', 'militant')","('operationally', 'compound')","('operationally', 'operation')","('operationally', 'cia')","('operationally', 'islamic')","('operation', 'bomb')","('operation', 'killing')","('operation', 'injure')","('operation', 'bombing')","('operation', 'airborne')","('operation', 'terrorize')","('operation', 'militant')","('operation', 'compound')","('operation', 'operationally')","('operation', 'cia')","('operation', 'islamic')","('cia', 'bomb')","('cia', 'killing')","('cia', 'injure')","('cia', 'bombing')","('cia', 'airborne')","('cia', 'terrorize')","('cia', 'militant')","('cia', 'compound')","('cia', 'operationally')","('cia', 'operation')","('cia', 'islamic')","('islamic', 'bomb')","('islamic', 'killing')","('islamic', 'injure')","('islamic', 'bombing')","('islamic', 'airborne')","('islamic', 'terrorize')","('islamic', 'militant')","('islamic', 'compound')","('islamic', 'operationally')","('islamic', 'operation')","('islamic', 'cia')"
Graph 1,2,2,1,-1,-1,2,2,2,2,-1,-1,2,2,3,-1,-1,2,2,3,2,-1,-1,2,2,3,-1,-1,2,2,3,2,-1,-1,1,3,3,-1,-1,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,2,2,2,-1,-1,2,2,2,2,-1,-1,2,2,1,-1,-1,2,3,3,3,-1,-1,2,2,2,-1,-1,2,2,2,2,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 2,2,2,2,2,-1,2,2,-1,2,-1,-1,2,2,2,3,-1,2,2,-1,2,-1,-1,2,2,2,3,-1,2,2,-1,2,-1,-1,2,2,2,3,-1,2,2,-1,2,-1,-1,2,3,3,3,-1,3,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,3,-1,2,-1,2,-1,-1,2,2,2,2,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 3,2,2,2,-1,-1,2,1,2,2,-1,-1,2,3,2,-1,-1,2,2,2,2,-1,-1,2,3,3,-1,-1,2,2,3,2,-1,-1,2,2,3,-1,-1,2,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,2,2,2,-1,-1,1,2,2,2,-1,-1,2,2,1,-1,-1,2,2,3,3,-1,-1,2,2,2,-1,-1,2,2,2,2,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 4,3,2,2,-1,-1,2,2,-1,2,-1,-1,3,2,2,-1,-1,3,3,-1,3,-1,-1,2,2,2,-1,-1,2,2,-1,2,-1,-1,2,2,2,-1,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,-1,-1,2,-1,2,-1,-1,2,3,2,2,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 5,2,2,3,-1,-1,2,2,-1,2,-1,-1,2,3,3,-1,-1,3,2,-1,3,-1,-1,2,3,3,-1,-1,2,2,-1,3,-1,-1,3,3,3,-1,-1,3,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,3,-1,-1,2,-1,2,-1,-1,2,2,2,2,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 6,2,2,2,-1,2,-1,1,-1,2,-1,-1,2,2,3,-1,3,-1,2,-1,2,-1,-1,2,2,2,-1,2,-1,2,-1,2,-1,-1,2,3,2,-1,3,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,3,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 7,2,2,2,-1,2,2,1,2,2,-1,-1,2,2,2,-1,3,2,2,2,2,-1,-1,2,2,2,-1,2,2,1,2,2,-1,-1,2,2,2,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,-1,2,1,2,2,-1,-1,2,2,2,2,-1,2,1,2,1,-1,-1,1,2,1,2,-1,1,1,2,1,-1,-1,2,2,2,2,-1,2,2,2,2,-1,-1,2,2,2,2,-1,2,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 8,2,2,1,2,2,2,2,-1,2,-1,-1,2,2,3,3,3,2,2,-1,2,-1,-1,2,2,2,3,3,2,2,-1,2,-1,-1,1,3,2,3,2,2,2,-1,1,-1,-1,2,3,3,3,3,3,2,-1,3,-1,-1,2,3,3,2,3,3,2,-1,2,-1,-1,2,2,2,2,3,3,2,-1,2,-1,-1,2,2,2,2,2,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,3,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 9,-1,3,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 10,2,2,1,-1,-1,2,1,2,2,-1,-1,2,2,2,-1,-1,3,2,2,2,-1,-1,2,2,2,-1,-1,2,1,3,2,-1,-1,1,2,2,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,2,-1,-1,2,3,2,-1,-1,1,2,1,2,-1,-1,2,2,1,-1,-1,2,2,3,2,-1,-1,3,2,2,-1,-1,2,2,2,2,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
