Graph,"('mileanhourwinds', 'wind')","('mileanhourwinds', 'thunderstorm')","('mileanhourwinds', 'storm')","('mileanhourwinds', 'hurricanehit')","('mileanhourwinds', 'hurricaneravaged')","('mileanhourwinds', 'damage')","('mileanhourwinds', 'airwave')","('mileanhourwinds', 'loss')","('mileanhourwinds', 'floodwater')","('mileanhourwinds', 'floodwall')","('mileanhourwinds', 'destroy')","('mileanhourwinds', 'shelter')","('wind', 'mileanhourwinds')","('wind', 'thunderstorm')","('wind', 'storm')","('wind', 'hurricanehit')","('wind', 'hurricaneravaged')","('wind', 'damage')","('wind', 'airwave')","('wind', 'loss')","('wind', 'floodwater')","('wind', 'floodwall')","('wind', 'destroy')","('wind', 'shelter')","('thunderstorm', 'mileanhourwinds')","('thunderstorm', 'wind')","('thunderstorm', 'storm')","('thunderstorm', 'hurricanehit')","('thunderstorm', 'hurricaneravaged')","('thunderstorm', 'damage')","('thunderstorm', 'airwave')","('thunderstorm', 'loss')","('thunderstorm', 'floodwater')","('thunderstorm', 'floodwall')","('thunderstorm', 'destroy')","('thunderstorm', 'shelter')","('storm', 'mileanhourwinds')","('storm', 'wind')","('storm', 'thunderstorm')","('storm', 'hurricanehit')","('storm', 'hurricaneravaged')","('storm', 'damage')","('storm', 'airwave')","('storm', 'loss')","('storm', 'floodwater')","('storm', 'floodwall')","('storm', 'destroy')","('storm', 'shelter')","('hurricanehit', 'mileanhourwinds')","('hurricanehit', 'wind')","('hurricanehit', 'thunderstorm')","('hurricanehit', 'storm')","('hurricanehit', 'hurricaneravaged')","('hurricanehit', 'damage')","('hurricanehit', 'airwave')","('hurricanehit', 'loss')","('hurricanehit', 'floodwater')","('hurricanehit', 'floodwall')","('hurricanehit', 'destroy')","('hurricanehit', 'shelter')","('hurricaneravaged', 'mileanhourwinds')","('hurricaneravaged', 'wind')","('hurricaneravaged', 'thunderstorm')","('hurricaneravaged', 'storm')","('hurricaneravaged', 'hurricanehit')","('hurricaneravaged', 'damage')","('hurricaneravaged', 'airwave')","('hurricaneravaged', 'loss')","('hurricaneravaged', 'floodwater')","('hurricaneravaged', 'floodwall')","('hurricaneravaged', 'destroy')","('hurricaneravaged', 'shelter')","('damage', 'mileanhourwinds')","('damage', 'wind')","('damage', 'thunderstorm')","('damage', 'storm')","('damage', 'hurricanehit')","('damage', 'hurricaneravaged')","('damage', 'airwave')","('damage', 'loss')","('damage', 'floodwater')","('damage', 'floodwall')","('damage', 'destroy')","('damage', 'shelter')","('airwave', 'mileanhourwinds')","('airwave', 'wind')","('airwave', 'thunderstorm')","('airwave', 'storm')","('airwave', 'hurricanehit')","('airwave', 'hurricaneravaged')","('airwave', 'damage')","('airwave', 'loss')","('airwave', 'floodwater')","('airwave', 'floodwall')","('airwave', 'destroy')","('airwave', 'shelter')","('loss', 'mileanhourwinds')","('loss', 'wind')","('loss', 'thunderstorm')","('loss', 'storm')","('loss', 'hurricanehit')","('loss', 'hurricaneravaged')","('loss', 'damage')","('loss', 'airwave')","('loss', 'floodwater')","('loss', 'floodwall')","('loss', 'destroy')","('loss', 'shelter')","('floodwater', 'mileanhourwinds')","('floodwater', 'wind')","('floodwater', 'thunderstorm')","('floodwater', 'storm')","('floodwater', 'hurricanehit')","('floodwater', 'hurricaneravaged')","('floodwater', 'damage')","('floodwater', 'airwave')","('floodwater', 'loss')","('floodwater', 'floodwall')","('floodwater', 'destroy')","('floodwater', 'shelter')","('floodwall', 'mileanhourwinds')","('floodwall', 'wind')","('floodwall', 'thunderstorm')","('floodwall', 'storm')","('floodwall', 'hurricanehit')","('floodwall', 'hurricaneravaged')","('floodwall', 'damage')","('floodwall', 'airwave')","('floodwall', 'loss')","('floodwall', 'floodwater')","('floodwall', 'destroy')","('floodwall', 'shelter')","('destroy', 'mileanhourwinds')","('destroy', 'wind')","('destroy', 'thunderstorm')","('destroy', 'storm')","('destroy', 'hurricanehit')","('destroy', 'hurricaneravaged')","('destroy', 'damage')","('destroy', 'airwave')","('destroy', 'loss')","('destroy', 'floodwater')","('destroy', 'floodwall')","('destroy', 'shelter')","('shelter', 'mileanhourwinds')","('shelter', 'wind')","('shelter', 'thunderstorm')","('shelter', 'storm')","('shelter', 'hurricanehit')","('shelter', 'hurricaneravaged')","('shelter', 'damage')","('shelter', 'airwave')","('shelter', 'loss')","('shelter', 'floodwater')","('shelter', 'floodwall')","('shelter', 'destroy')"
Graph 1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,-1,3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,3,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,2,2,-1,-1,2,2,-1,1,2,-1,-1,2,3,2,-1,-1,2,3,-1,1,2,-1,-1,2,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,2,-1,-1,1,2,-1,2,3,2,-1,-1,2,3,-1,-1,2,3,-1,2,2,2,-1,-1,2,3,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,1,2,2,-1,-1,2,-1,2,3,2,-1,-1,2,3,2,-1,-1,2
Graph 3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,1,3,2,-1,-1,2,-1,-1,2,2,-1,-1,2,3,3,-1,-1,2,-1,-1,1,2,-1,-1,2,3,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,2,1,-1,-1,2,-1,-1,3,3,3,-1,-1,2,3,-1,-1,2,-1,-1,2,3,3,-1,-1,1,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,2,-1,2,-1,-1,2,2,-1,2,2,-1,-1,2,-1,3,-1,-1,2,2,-1,2,2,-1,-1,2,-1,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,1,-1,2,-1,-1,2,-1,2,2,2,-1,-1,2,-1,2,-1,-1,2
Graph 5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,2,2,2,-1,-1,2,2,-1,3,2,-1,-1,2,3,3,-1,-1,2,2,-1,2,2,-1,-1,2,3,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,2,-1,-1,2,2,-1,2,3,3,-1,-1,2,2,-1,-1,2,2,-1,2,3,2,-1,-1,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,2,2,-1,-1,2,-1,2,2,2,-1,-1,2,2,2,-1,-1,2
Graph 6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,2,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,2,-1,-1,2
Graph 7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,2,-1,2,-1,-1,2,3,-1,3,3,-1,-1,2,-1,2,-1,-1,2,3,-1,1,3,-1,-1,2,-1,2,-1,-1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,1,-1,1,-1,-1,2,-1,3,3,3,-1,-1,2,-1,2,-1,-1,2
Graph 8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,3,3,2,-1,-1,2,-1,-1,3,2,-1,-1,2,3,2,-1,-1,2,-1,-1,1,2,-1,-1,2,3,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,-1,-1,2,2,-1,-1,2,-1,-1,3,3,3,-1,-1,2,3,-1,-1,2,-1,-1,2,2,2,-1,-1,2,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Graph 9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,2,2,2,-1,-1,2,2,-1,2,2,-1,-1,2,3,2,-1,-1,2,3,-1,1,2,-1,-1,2,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,1,-1,-1,2,2,-1,2,3,2,-1,-1,2,2,-1,-1,2,2,-1,2,2,2,-1,-1,1,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,2,2,2,-1,-1,2,-1,2,3,2,-1,-1,2,2,2,-1,-1,2
Graph 10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,2,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,2,2,2,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,2,2,-1,-1,1,1,-1,2,-1,2,-1,-1,2,2,-1,-1,2,2,-1,2,-1,2,-1,-1,2,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,1,2,1,-1,-1,2,-1,2,-1,2,-1,-1,1,2,2,-1,-1,2
